stock_goods_id	stock_quantity	stock_last_modified_date	stock_allocation_quantity	stock_defective_quantity	stock_remaining_order_quantity	stock_out_quantity	stock_free_quantity	stock_advance_order_quantity	stock_advance_order_allocation_quantity	stock_advance_order_free_quantity
ashtray-005-camel	14	2021-03-25 09:22:16	2	1	0	0	12	0	0	0
bag-taba-200	71	2021-03-25 09:41:45	2	0	0	0	69	0	0	0
baghanger-01	334	2021-03-25 09:22:22	2	0	0	0	332	0	0	0
bamboo-dentaku	544	2021-03-25 09:41:45	4	0	0	0	540	0	0	0
bath-001	25	2021-03-25 09:22:22	1	0	60	0	24	0	0	0
beermug-004-tebineri	30	2021-03-25 09:22:16	1	0	240	0	29	0	0	0
beermug-005	466	2021-03-25 09:22:23	10	1	0	0	456	0	0	0
beermug-012	280	2021-03-25 09:22:20	2	0	1008	0	278	0	0	0
beermug-017-green	2176	2021-03-25 09:22:20	21	0	4032	0	2155	0	0	0
beermug-017-pink	937	2021-03-25 09:22:20	34	0	10032	0	903	0	0	0
beermug-017-silver	442	2021-03-25 09:22:20	0	0	1008	0	442	0	0	0
beermug-019	1462	2021-03-25 09:41:46	14	0	2016	0	1448	0	0	0
beermug-023-navy	924	2021-03-25 09:22:20	3	0	2016	0	921	0	0	0
beermug-023-pink	576	2021-03-25 09:22:20	12	0	2016	0	564	0	0	0
beermug-023-winered	2013	2021-03-25 09:22:21	12	0	4032	0	2001	0	0	0
beermug-029-mint	212	2021-03-25 09:22:23	2	0	0	0	210	0	0	0
beermug-029-pink	332	2021-03-25 09:22:23	3	0	0	0	329	0	0	0
beermug-029-white	68	2021-03-25 09:22:23	0	0	0	0	68	0	0	0
beermug-031-gold	679	2021-03-25 09:22:23	5	66	0	0	674	0	0	0
beermug-031-green	384	2021-03-25 09:22:23	7	12	0	0	377	0	0	0
beermug-031-navy	2012	2021-03-25 09:23:25	34	215	0	0	1978	0	0	0
beermug-031-pink	3096	2021-03-25 09:23:25	28	78	0	0	3068	0	0	0
